eval_set,sample_id,relative_l2_error,run_id,config_hash,claim
val,1295,0.007664403412491083,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1297,0.007645644713193178,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1299,0.010855793952941895,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1313,0.04048752412199974,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1325,0.008490567095577717,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1327,0.02791241742670536,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1343,0.020567376166582108,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1354,0.007788945455104113,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1396,0.040160298347473145,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1398,0.006211145780980587,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1403,0.0083511583507061,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1418,0.027313582599163055,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1423,0.022443629801273346,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1442,0.00684934388846159,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1443,0.006049289833754301,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1444,0.006251083221286535,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1450,0.00960582960397005,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1452,0.008659012615680695,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1458,0.008345702663064003,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1462,0.009720034897327423,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1488,0.009046023711562157,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1502,0.008219528943300247,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1505,0.007801597006618977,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1507,0.008264758624136448,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1509,0.01743967831134796,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1518,0.011275465600192547,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1520,0.010814618319272995,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1527,0.034056492149829865,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1534,0.004442182369530201,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1540,0.023599356412887573,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1545,0.01168463472276926,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1550,0.052566561847925186,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1556,0.011565936729311943,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
